my time, msgCnt, SecMark, Lat, Lon
1575640233,93,47763,-334565344.000000,-706596864.000000
1575640233,94,47763,-334565376.000000,-706596864.000000
1575640233,95,47763,-334565472.000000,-706596928.000000
1575640234,97,47764,-334565568.000000,-706596992.000000
1575640234,100,47764,-334565760.000000,-706597248.000000
1575640235,101,47765,-334565856.000000,-706597376.000000
1575640235,102,47765,-334565920.000000,-706597440.000000
1575640235,103,47765,-334565984.000000,-706597568.000000
1575640235,104,47765,-334566016.000000,-706597568.000000
1575640235,105,47765,-334566080.000000,-706597760.000000
1575640236,106,47766,-334566144.000000,-706597888.000000
1575640236,107,47766,-334566176.000000,-706598016.000000
1575640237,111,47767,-334566272.000000,-706598528.000000
1575640237,114,47767,-334566304.000000,-706598912.000000
1575640237,115,47767,-334566304.000000,-706599040.000000
1575640238,117,47768,-334566336.000000,-706599232.000000
1575640238,120,47768,-334566400.000000,-706599680.000000
1575640239,122,47769,-334566432.000000,-706600000.000000
1575640239,123,47769,-334566432.000000,-706600128.000000
1575640239,124,47769,-334566432.000000,-706600128.000000
1575640239,125,47769,-334566464.000000,-706600384.000000
1575640240,126,47770,-334566464.000000,-706600576.000000
1575640240,128,47770,-334566496.000000,-706600768.000000
1575640240,129,47770,-334566496.000000,-706600960.000000
1575640240,130,47770,-334566528.000000,-706601088.000000
1575640241,131,47771,-334566528.000000,-706601216.000000
1575640241,132,47771,-334566528.000000,-706601280.000000
1575640241,133,47771,-334566528.000000,-706601472.000000
1575640241,134,47771,-334566560.000000,-706601664.000000
1575640241,135,47772,-334566592.000000,-706601856.000000
1575640242,136,47772,-334566592.000000,-706601920.000000
1575640242,137,47772,-334566592.000000,-706601984.000000
1575640242,139,47772,-334566592.000000,-706602368.000000
1575640242,140,47773,-334566592.000000,-706602496.000000
1575640243,141,47773,-334566592.000000,-706602496.000000
1575640243,143,47773,-334566560.000000,-706602880.000000
1575640243,144,47773,-334566560.000000,-706602944.000000
1575640243,145,47774,-334566528.000000,-706603072.000000
1575640244,146,47774,-334566496.000000,-706603200.000000
1575640244,147,47774,-334566496.000000,-706603200.000000
1575640244,148,47774,-334566464.000000,-706603328.000000
1575640244,149,47774,-334566464.000000,-706603456.000000
1575640245,151,47775,-334566464.000000,-706603584.000000
1575640245,153,47775,-334566464.000000,-706603712.000000
1575640245,154,47775,-334566464.000000,-706603776.000000
1575640246,155,47776,-334566464.000000,-706603840.000000
1575640246,156,47776,-334566464.000000,-706603840.000000
1575640246,157,47776,-334566464.000000,-706603840.000000
1575640246,158,47776,-334566464.000000,-706603904.000000
1575640246,159,47776,-334566464.000000,-706603904.000000
1575640247,160,47777,-334566464.000000,-706603968.000000
1575640247,161,47777,-334566496.000000,-706603968.000000
1575640247,162,47777,-334566464.000000,-706604032.000000
1575640247,163,47777,-334566464.000000,-706604032.000000
1575640247,164,47777,-334566464.000000,-706604096.000000
1575640248,165,47777,-334566464.000000,-706604096.000000
1575640248,166,47778,-334566432.000000,-706604160.000000
1575640248,167,47778,-334566400.000000,-706604224.000000
1575640248,168,47778,-334566400.000000,-706604288.000000
1575640248,169,47778,-334566368.000000,-706604352.000000
1575640249,170,47779,-334566368.000000,-706604416.000000
1575640249,172,47779,-334566336.000000,-706604480.000000
1575640249,173,47779,-334566304.000000,-706604608.000000
1575640249,174,47779,-334566272.000000,-706604672.000000
1575640250,176,47780,-334566272.000000,-706604736.000000
1575640250,177,47780,-334566240.000000,-706604864.000000
1575640250,178,47780,-334566240.000000,-706604928.000000
1575640250,179,47780,-334566208.000000,-706604928.000000
1575640251,180,47781,-334566208.000000,-706604992.000000
1575640251,181,47781,-334566208.000000,-706604992.000000
1575640251,182,47781,-334566208.000000,-706605056.000000
1575640251,184,47781,-334566208.000000,-706605120.000000
1575640252,186,47782,-334566208.000000,-706605120.000000
1575640252,187,47782,-334566208.000000,-706605120.000000
1575640252,189,47782,-334566176.000000,-706605120.000000
1575640253,190,47783,-334566176.000000,-706605184.000000
1575640253,191,47783,-334566176.000000,-706605184.000000
1575640253,192,47783,-334566176.000000,-706605184.000000
1575640254,196,47784,-334566144.000000,-706605184.000000
1575640254,197,47784,-334566144.000000,-706605184.000000
1575640254,198,47784,-334566144.000000,-706605184.000000
1575640254,199,47784,-334566144.000000,-706605184.000000
1575640255,200,47784,-334566144.000000,-706605184.000000
1575640255,201,47785,-334566112.000000,-706605248.000000
1575640255,202,47785,-334566112.000000,-706605248.000000
1575640255,203,47785,-334566112.000000,-706605248.000000
1575640255,204,47785,-334566112.000000,-706605248.000000
1575640256,205,47785,-334566112.000000,-706605248.000000
1575640256,206,47786,-334566112.000000,-706605248.000000
1575640256,208,47786,-334566080.000000,-706605248.000000
1575640256,209,47786,-334566080.000000,-706605248.000000
1575640257,210,47786,-334566080.000000,-706605248.000000
1575640257,211,47787,-334566080.000000,-706605312.000000
1575640257,212,47787,-334566080.000000,-706605312.000000
1575640257,213,47787,-334566080.000000,-706605312.000000
1575640257,214,47787,-334566048.000000,-706605312.000000
1575640258,215,47788,-334566048.000000,-706605312.000000
1575640258,216,47788,-334566048.000000,-706605312.000000
1575640258,217,47788,-334566048.000000,-706605312.000000
1575640258,218,47788,-334566048.000000,-706605312.000000
1575640258,219,47788,-334566048.000000,-706605312.000000
1575640259,220,47789,-334566048.000000,-706605376.000000
1575640259,221,47789,-334566048.000000,-706605376.000000
1575640259,222,47789,-334566048.000000,-706605376.000000
1575640259,223,47789,-334566048.000000,-706605376.000000
1575640259,224,47789,-334566016.000000,-706605376.000000
1575640260,225,47790,-334566016.000000,-706605376.000000
1575640260,226,47790,-334566016.000000,-706605376.000000
1575640260,227,47790,-334566016.000000,-706605376.000000
1575640260,228,47790,-334566016.000000,-706605440.000000
1575640260,229,47790,-334566016.000000,-706605440.000000
1575640261,230,47791,-334566016.000000,-706605440.000000
1575640261,231,47791,-334566016.000000,-706605440.000000
1575640261,0,47791,-334566016.000000,-706605440.000000
1575640261,1,47791,-334566016.000000,-706605440.000000
1575640261,2,47791,-334566016.000000,-706605440.000000
1575640262,3,47791,-334566016.000000,-706605440.000000
1575640262,4,47792,-334566016.000000,-706605440.000000
1575640262,5,47792,-334565984.000000,-706605440.000000
1575640262,6,47792,-334565984.000000,-706605440.000000
1575640262,7,47792,-334565984.000000,-706605440.000000
1575640263,8,47793,-334565984.000000,-706605440.000000
1575640263,9,47793,-334565984.000000,-706605440.000000
1575640263,10,47793,-334565984.000000,-706605504.000000
1575640263,11,47793,-334565984.000000,-706605504.000000
1575640263,12,47793,-334565984.000000,-706605504.000000
1575640264,13,47793,-334565984.000000,-706605504.000000
1575640264,14,47794,-334565984.000000,-706605504.000000
1575640264,15,47794,-334565984.000000,-706605504.000000
1575640264,16,47794,-334565984.000000,-706605504.000000
1575640264,17,47794,-334565952.000000,-706605504.000000
