my time, msgCnt, SecMark, Lat, Lon
1575638815,44,46345,-334564448.000000,-706596352.000000
1575638815,45,46345,-334564544.000000,-706596416.000000
1575638816,49,46346,-334564960.000000,-706596736.000000
1575638816,50,46346,-334565024.000000,-706596864.000000
1575638816,51,46346,-334565088.000000,-706596992.000000
1575638816,52,46346,-334565184.000000,-706597120.000000
1575638817,53,46347,-334565248.000000,-706597248.000000
1575638817,54,46347,-334565280.000000,-706597312.000000
1575638817,55,46347,-334565376.000000,-706597504.000000
1575638817,57,46347,-334565472.000000,-706597888.000000
1575638818,58,46348,-334565536.000000,-706598080.000000
1575638818,60,46348,-334565632.000000,-706598464.000000
1575638818,61,46348,-334565664.000000,-706598656.000000
1575638818,62,46349,-334565728.000000,-706598976.000000
1575638819,63,46349,-334565728.000000,-706598976.000000
1575638819,64,46349,-334565824.000000,-706599424.000000
1575638819,65,46349,-334565824.000000,-706599424.000000
1575638819,66,46349,-334565888.000000,-706599872.000000
1575638819,67,46350,-334565920.000000,-706600128.000000
1575638820,68,46350,-334565920.000000,-706600256.000000
1575638820,69,46350,-334565952.000000,-706600448.000000
1575638820,70,46350,-334565984.000000,-706600704.000000
1575638820,71,46350,-334566016.000000,-706601088.000000
1575638820,72,46351,-334566048.000000,-706601280.000000
1575638821,73,46351,-334566112.000000,-706601536.000000
1575638821,74,46351,-334566112.000000,-706601728.000000
1575638821,75,46351,-334566144.000000,-706601984.000000
1575638821,76,46351,-334566144.000000,-706602176.000000
1575638822,77,46352,-334566176.000000,-706602368.000000
1575638822,78,46352,-334566208.000000,-706602624.000000
1575638822,79,46352,-334566208.000000,-706602816.000000
1575638822,80,46352,-334566240.000000,-706603008.000000
1575638822,81,46352,-334566240.000000,-706603008.000000
1575638823,82,46353,-334566240.000000,-706603392.000000
1575638823,83,46353,-334566240.000000,-706603520.000000
1575638823,84,46353,-334566208.000000,-706603712.000000
1575638823,85,46353,-334566208.000000,-706603904.000000
1575638823,86,46353,-334566208.000000,-706604096.000000
1575638824,87,46354,-334566176.000000,-706604288.000000
1575638824,88,46354,-334566176.000000,-706604416.000000
1575638824,89,46354,-334566176.000000,-706604480.000000
1575638824,90,46354,-334566144.000000,-706604736.000000
1575638824,91,46354,-334566144.000000,-706604864.000000
1575638825,92,46355,-334566144.000000,-706604992.000000
1575638825,93,46355,-334566144.000000,-706605120.000000
1575638825,94,46355,-334566144.000000,-706605248.000000
1575638825,95,46355,-334566144.000000,-706605248.000000
1575638825,96,46355,-334566144.000000,-706605440.000000
1575638826,97,46356,-334566144.000000,-706605504.000000
1575638826,98,46356,-334566144.000000,-706605568.000000
1575638826,99,46356,-334566144.000000,-706605632.000000
1575638826,100,46356,-334566144.000000,-706605696.000000
1575638826,101,46356,-334566144.000000,-706605696.000000
1575638827,102,46357,-334566144.000000,-706605696.000000
1575638827,103,46357,-334566144.000000,-706605760.000000
1575638827,104,46357,-334566144.000000,-706605760.000000
1575638827,106,46357,-334566112.000000,-706605760.000000
1575638828,107,46358,-334566112.000000,-706605760.000000
1575638828,108,46358,-334566112.000000,-706605696.000000
1575638828,109,46358,-334566112.000000,-706605696.000000
1575638828,110,46358,-334566112.000000,-706605760.000000
1575638828,111,46358,-334566080.000000,-706605760.000000
1575638829,112,46359,-334566080.000000,-706605760.000000
1575638829,113,46359,-334566080.000000,-706605760.000000
1575638829,114,46359,-334566080.000000,-706605760.000000
1575638829,115,46359,-334566048.000000,-706605760.000000
1575638829,116,46359,-334566048.000000,-706605760.000000
1575638830,117,46359,-334566048.000000,-706605760.000000
1575638830,118,46360,-334566048.000000,-706605760.000000
1575638830,119,46360,-334566016.000000,-706605760.000000
1575638830,120,46360,-334566016.000000,-706605760.000000
1575638830,121,46360,-334566016.000000,-706605760.000000
1575638831,122,46361,-334566016.000000,-706605760.000000
1575638831,123,46361,-334566016.000000,-706605760.000000
1575638831,124,46361,-334566016.000000,-706605760.000000
1575638831,125,46361,-334566016.000000,-706605760.000000
1575638831,126,46361,-334565984.000000,-706605760.000000
1575638832,127,46362,-334565984.000000,-706605760.000000
1575638832,128,46362,-334565984.000000,-706605760.000000
1575638832,129,46362,-334565984.000000,-706605760.000000
1575638832,130,46362,-334565984.000000,-706605760.000000
